post_title,post_content,sku,parent_sku,regular_price,weight,images,tax:product_brand,tax:product_gender,tax:product_collection,tax:product_productline,tax:product_type,tax:product_cat,meta:msrp_field,meta:upc_field,meta:attribute_pa_color,meta:attribute_pa_size,attribute:BigAndTall,attribute_data:BigAndTall,attribute:BraType,attribute_data:BraType,attribute:Closure,attribute_data:Closure,attribute:ControlLevel,attribute_data:ControlLevel,attribute:Fabric,attribute_data:Fabric,attribute:InnerPackQty,attribute_data:InnerPackQty,attribute:Inseam,attribute_data:Inseam,attribute:NeckDesign,attribute_data:NeckDesign,attribute:Silhouette,attribute_data:Silhouette,attribute:SleeveStyle,attribute_data:SleeveStyle,attribute:pa_color,attribute_data:pa_color,attribute:pa_size,attribute_data:pa_size
Hanes Mens Space Dye 14-Way Stretch Thermal Crewneck,,54930,1203,13.33,0.4,https://nylimages.s3.amazonaws.com/HBI_125462_PeacoatPeacoatSpaceDye.jpg,,,,,,,0,843347113831,Peacoat/Peacoat Space Dye,XL,,,,,,,,,,,,,,,,,,,,,,,,
Maidenform Womens Control It Slim Waisters Hi-Waist Brief,Our Control It Slim-Waisters Hi Waist Brief shapes stubborn areas and offers instant tummy control!Shapes and smooths your tummy and midsection. 360 degree targeted tummy control. Perfect for a more toned look under clothes. Hi Waist. Firm Control.,1204,,13.27,,https://cdn1.nuorder.com/product/265ff924cace96d5780f0dd4386e96b0.jpg | https://cdn1.nuorder.com/product/4a173e65776bbb5e1aa92f39de47ce40.jpg,Maidenform,Women,Slim Waisters,Seamless,variable,Women > Shapewear > Panty Shapers|Women > Shapewear|Women,,,,,,,,,,,,,88% polyester 12% spandex,2|1|0,1,3|1|0,,,,,,,,,Black|Latte Lift,1|1|1,2XL|L|M|S|XL,0|1|1
Maidenform Womens Control It Slim Waisters Hi-Waist Brief,,11095,1204,13.27,0.16,https://nylimages.s3.amazonaws.com/HBI_M09729_Black_sw.jpg,,,,,,,0,14671094169,Black,2XL,,,,,,,,,,,,,,,,,,,,,,,,
Maidenform Womens Control It Slim Waisters Hi-Waist Brief,,11100,1204,13.27,0.16,https://nylimages.s3.amazonaws.com/HBI_M09729_LatteLift_sw.jpg,,,,,,,0,14671097597,Latte Lift,2XL,,,,,,,,,,,,,,,,,,,,,,,,
Maidenform Womens Control It Slim Waisters Hi-Waist Brief,,11093,1204,13.27,0.14,https://nylimages.s3.amazonaws.com/HBI_M09729_Black_sw.jpg,,,,,,,0,14671094176,Black,L,,,,,,,,,,,,,,,,,,,,,,,,
Maidenform Womens Control It Slim Waisters Hi-Waist Brief,,11098,1204,13.27,0.14,https://nylimages.s3.amazonaws.com/HBI_M09729_LatteLift_sw.jpg,,,,,,,0,14671097603,Latte Lift,L,,,,,,,,,,,,,,,,,,,,,,,,
Maidenform Womens Control It Slim Waisters Hi-Waist Brief,,11092,1204,13.27,0.13,https://nylimages.s3.amazonaws.com/HBI_M09729_Black_sw.jpg,,,,,,,0,14671094183,Black,M,,,,,,,,,,,,,,,,,,,,,,,,
Maidenform Womens Control It Slim Waisters Hi-Waist Brief,,11097,1204,13.27,0.13,https://nylimages.s3.amazonaws.com/HBI_M09729_LatteLift_sw.jpg,,,,,,,0,14671097610,Latte Lift,M,,,,,,,,,,,,,,,,,,,,,,,,
Maidenform Womens Control It Slim Waisters Hi-Waist Brief,,11091,1204,13.27,0.12,https://nylimages.s3.amazonaws.com/HBI_M09729_Black_sw.jpg,,,,,,,0,14671094190,Black,S,,,,,,,,,,,,,,,,,,,,,,,,
Maidenform Womens Control It Slim Waisters Hi-Waist Brief,,11096,1204,13.27,0.12,https://nylimages.s3.amazonaws.com/HBI_M09729_LatteLift_sw.jpg,,,,,,,0,14671097627,Latte Lift,S,,,,,,,,,,,,,,,,,,,,,,,,
Maidenform Womens Control It Slim Waisters Hi-Waist Brief,,11094,1204,13.27,0.15,https://nylimages.s3.amazonaws.com/HBI_M09729_Black_sw.jpg,,,,,,,0,14671094206,Black,XL,,,,,,,,,,,,,,,,,,,,,,,,
Maidenform Womens Control It Slim Waisters Hi-Waist Brief,,11099,1204,13.27,0.15,https://nylimages.s3.amazonaws.com/HBI_M09729_LatteLift_sw.jpg,,,,,,,0,14671097610,Latte Lift,XL,,,,,,,,,,,,,,,,,,,,,,,,
